plan_sponsor,Freq,plan_sponsor_clean
DANIA BEACH [PF],17,DANIA BEACH [PF]
DANIA BEACH [PF] (CLOSED),1,DANIA BEACH [PF] (CLOSED)
DAVIE,24,DAVIE
DAVIE - GENERAL & MGMT,9,DAVIE - GENERAL & MGMT
DAVIE (G & MGT),3,DAVIE (G & MGT)
DAYTONA BCH SHORES,3,DAYTONA BCH SHORES
DAYTONA BEACH,12,DAYTONA BEACH
DEERFIELD BEACH,33,DEERFIELD BEACH
DEERFIELD BEACH (CLOSED),1,DEERFIELD BEACH (CLOSED)
DELAND,35,DELAND
DELRAY BEACH,23,DELRAY BEACH
DELRAY BEACH (REV),1,DELRAY BEACH (REV)
DELTONA,12,DELTONA
DESTIN FCD,9,DESTIN FCD
DESTIN FIRE CD,2,DESTIN FIRE CD
DESTIN FIRE CD REV,1,DESTIN FIRE CD REV
DUNEDIN,12,DUNEDIN
DUNNELLON,12,DUNNELLON
E. LAKE TARPON FCD,3,E. LAKE TARPON FCD
EAST LAKE TARPON FCD,9,EAST LAKE TARPON FCD
EAST NAPLES F&RD,3,EAST NAPLES F&RD
EAST NAPLES FCD,6,EAST NAPLES FCD
EAST NICEVILLE FCD,9,EAST NICEVILLE FCD
EATONVILLE,9,EATONVILLE
EDGEWATER,35,EDGEWATER
ENGLEWOOD AREA FCD,12,ENGLEWOOD AREA FCD
ENGLEWOOD WATER DISTRICT,7,ENGLEWOOD WATER DISTRICT
ESTERO FCD,9,ESTERO FCD
ESTERO FP&R DIST,3,ESTERO FP&R DIST
EUSTIS,23,EUSTIS
FERNANDINA BEACH,24,FERNANDINA BEACH
FLAGLER BEACH,21,FLAGLER BEACH
FLORIDA CITY,9,FLORIDA CITY
FLORIDA CITY - ELECTED,5,FLORIDA CITY - ELECTED
FLORIDA CITY (REV),2,FLORIDA CITY (REV)
FORT LAUDERDALE,18,FORT LAUDERDALE
FORT MEADE [GPF],26,FORT MEADE [GPF]
FORT MEADE [GPF] (CLOSED),1,FORT MEADE [GPF] (CLOSED)
FORT MYERS,36,FORT MYERS
FORT PIERCE,11,FORT PIERCE
"FORT PIERCE [G, P, UTIL]",16,"FORT PIERCE [G, P, UTIL]"
FORT PIERCE SUPP,12,FORT PIERCE SUPP
FORT PIERCE UTIL,3,FORT PIERCE UTIL
FORT PIERCE UTILITIES,1,FORT PIERCE UTILITIES
"FORT PIERCE UTILITIES [G, P, UTIL]",8,"FORT PIERCE UTILITIES [G, P, UTIL]"
FORT WALTON BEACH,36,FORT WALTON BEACH
FROSTPROOF,20,FROSTPROOF
FROSTPROOF (REV),1,FROSTPROOF (REV)
FRUITLAND PARK,12,FRUITLAND PARK
GAINESVILLE,21,GAINESVILLE
GAINESVILLE - DISABILITY,7,GAINESVILLE - DISABILITY
GAINESVILLE (DIS),3,GAINESVILLE (DIS)
GOLDEN BEACH [GP],18,GOLDEN BEACH [GP]
GREATER NAPLES FCD,3,GREATER NAPLES FCD
GREEN COVE SPRINGS,12,GREEN COVE SPRINGS
GREENACRES,10,GREENACRES
GULF BREEZE,12,GULF BREEZE
GULFPORT,34,GULFPORT
HAINES CITY,33,HAINES CITY
HALIFAX HOSPITAL,7,HALIFAX HOSPITAL
HALLANDALE BCH P/M,3,HALLANDALE BCH P/M
HALLANDALE BEACH,23,HALLANDALE BEACH
HALLANDALE BEACH P/M,3,HALLANDALE BEACH P/M
HALLANDALE BEACH P/M (EXCESS),1,HALLANDALE BEACH P/M (EXCESS)
HALLANDALE BEACH PM,6,HALLANDALE BEACH PM
HALLANDALE BEACH PM (EXCESS),6,HALLANDALE BEACH PM (EXCESS)
HAVANA,9,HAVANA
HAVANA (VOL),3,HAVANA (VOL)
HIALEAH,15,HIALEAH
HIALEAH - ELECTED,9,HIALEAH - ELECTED
HIALEAH ELECTED,3,HIALEAH ELECTED
HIALEAH GARDENS,12,HIALEAH GARDENS
HILLSBOROUGH COUNTY,8,HILLSBOROUGH COUNTY
HILLSBOROUGH COUNTY (CLOSED),1,HILLSBOROUGH COUNTY (CLOSED)
HILLSBOROUGH CTY,2,HILLSBOROUGH CTY
HOLLEY-NAVARRE FCD,9,HOLLEY-NAVARRE FCD
HOLLY HILL,22,HOLLY HILL
HOLLY HILL (REV),1,HOLLY HILL (REV)
HOLLYWOOD,32,HOLLYWOOD
HOLMES BEACH,12,HOLMES BEACH
HOMESTEAD,26,HOMESTEAD
HOMESTEAD - General & Hospital,9,HOMESTEAD - General & Hospital
HOMESTEAD - New Elected & Sr. Mgmt,9,HOMESTEAD - New Elected & Sr. Mgmt
HOMESTEAD - Old Elected,9,HOMESTEAD - Old Elected
HOMESTEAD (CLOSED),1,HOMESTEAD (CLOSED)
HOMESTEAD ELECTED,2,HOMESTEAD ELECTED
HOMESTEAD SR MGT,1,HOMESTEAD SR MGT
HOWEY-IN-THE-HILLS,12,HOWEY-IN-THE-HILLS
INDIALANTIC,24,INDIALANTIC
INDIAN HARBOUR BCH,3,INDIAN HARBOUR BCH
INDIAN HARBOUR BEACH,9,INDIAN HARBOUR BEACH
INDIAN HARBOUR BEACH (SUPP),4,INDIAN HARBOUR BEACH (SUPP)
INDIAN RIV SHOR®,1,INDIAN RIV SHOR®
INDIAN RIVER SHORES,18,INDIAN RIVER SHORES
INDIAN SHORES,9,INDIAN SHORES
JACKSON MEM. HOSP,3,JACKSON MEM. HOSP
JACKSON MEMORIAL HOSPITAL,9,JACKSON MEMORIAL HOSPITAL
JACKSONVILLE,31,JACKSONVILLE
JACKSONVILLE - DISABILITY,7,JACKSONVILLE - DISABILITY
JACKSONVILLE (DISABILITY),1,JACKSONVILLE (DISABILITY)
JACKSONVILLE (REV),2,JACKSONVILLE (REV)
JACKSONVILLE BEACH,36,JACKSONVILLE BEACH
JACKSONVILLE PF SENIOR STAFF,4,JACKSONVILLE PF SENIOR STAFF
JUPITER,10,JUPITER
JUPITER (REV-2),1,JUPITER (REV-2)
JUPITER (REVISED),1,JUPITER (REVISED)
JUPITER ISLAND,12,JUPITER ISLAND
KEY BISCAYNE,12,KEY BISCAYNE
KEY WEST,21,KEY WEST
KEY WEST HOUSING,12,KEY WEST HOUSING
KEY WEST UTILITY,12,KEY WEST UTILITY
KISSIMMEE,36,KISSIMMEE
KISSIMMEE UTIL AUT,3,KISSIMMEE UTIL AUT
KISSIMMEE UTILITY AUTHORITY,9,KISSIMMEE UTILITY AUTHORITY
L'DALE-BY-THE-SEA,3,L'DALE-BY-THE-SEA
LABELLE,9,LABELLE
LADY LAKE,12,LADY LAKE
LAKE ALFRED,20,LAKE ALFRED
LAKE ALFRED (REV),4,LAKE ALFRED (REV)
LAKE CITY,30,LAKE CITY
LAKE HELEN,9,LAKE HELEN
LAKE MARY,23,LAKE MARY
LAKE MARY (REV),1,LAKE MARY (REV)
LAKE PARK (RETIRED),9,LAKE PARK (RETIRED)
LAKE PARK RETIRED,3,LAKE PARK RETIRED
LAKE WALES,36,LAKE WALES
LAKE WORTH,35,LAKE WORTH
LAKELAND,25,LAKELAND
LAKELAND SUPP,10,LAKELAND SUPP
LAKELAND SUPP-R,1,LAKELAND SUPP-R
LANTANA,24,LANTANA
LARGO,12,LARGO
LAUDERDALE-BY-THE-SEA,3,LAUDERDALE-BY-THE-SEA
LAUDERDALE-BY-THE-SEA (VOL),6,LAUDERDALE-BY-THE-SEA (VOL)
LAUDERHILL,34,LAUDERHILL
LAUDERHILL (C&M),9,LAUDERHILL (C&M)
LEESBURG,34,LEESBURG
LEESBURG (REV),1,LEESBURG (REV)
LIGHTHOUSE POINT,10,LIGHTHOUSE POINT
LIGHTHOUSE POINT R,1,LIGHTHOUSE POINT R
LIVE OAK,9,LIVE OAK
LONGBOAT KEY,35,LONGBOAT KEY
LONGBOAT KEY (REV),1,LONGBOAT KEY (REV)
LONGWOOD,11,LONGWOOD
LYNN HAVEN,36,LYNN HAVEN
MACCLENNY,5,MACCLENNY
MADISON,24,MADISON
MAITLAND,12,MAITLAND
MARATHON,9,MARATHON
MARCO ISLAND,19,MARCO ISLAND
MARCO ISLAND FCD,1,MARCO ISLAND FCD
MARIANNA,17,MARIANNA
MARION COUNTY,2,MARION COUNTY
MARTIN COUNTY,10,MARTIN COUNTY
MARTIN COUNTY (CLOSED),1,MARTIN COUNTY (CLOSED)
MEDLEY,9,MEDLEY
MEDLEY - GENERAL + ELECTED,8,MEDLEY - GENERAL + ELECTED
MEDLEY (REV),1,MEDLEY (REV)
MELBOURNE,36,MELBOURNE
MELBOURNE - SPECIAL RISK,8,MELBOURNE - SPECIAL RISK
MELBOURNE BEACH,12,MELBOURNE BEACH
MELBOURNE SPECIAL RISK,1,MELBOURNE SPECIAL RISK
MELBOURNE SPECRSK,3,MELBOURNE SPECRSK
MIAMI,14,MIAMI
MIAMI-DADE COUNTY,11,MIAMI-DADE COUNTY
MIAMI-DADE COUNTY (CLOSED),1,MIAMI-DADE COUNTY (CLOSED)
MIAMI - COLA,1,MIAMI - COLA
MIAMI - COLA (RETIRED),4,MIAMI - COLA (RETIRED)
MIAMI - ELECTED,8,MIAMI - ELECTED
MIAMI - EXCESS,9,MIAMI - EXCESS
MIAMI - FIPO,3,MIAMI - FIPO
MIAMI - FIPO (STAFF),3,MIAMI - FIPO (STAFF)
MIAMI - FIPO COLA (RETIRED),3,MIAMI - FIPO COLA (RETIRED)
MIAMI - GESE,3,MIAMI - GESE
MIAMI - GESE (EXCESS),3,MIAMI - GESE (EXCESS)
MIAMI - GESE (STAFF),3,MIAMI - GESE (STAFF)
MIAMI - OFF-STREET PARKING,8,MIAMI - OFF-STREET PARKING
MIAMI - STAFF,9,MIAMI - STAFF
MIAMI BEACH,22,MIAMI BEACH
MIAMI BEACH UNC&EL,4,MIAMI BEACH UNC&EL
MIAMI OFF-ST PKING,3,MIAMI OFF-ST PKING
MIAMI OFF-STREET PARKING,1,MIAMI OFF-STREET PARKING
MIAMI SHORES VILLAGE,18,MIAMI SHORES VILLAGE
MIAMI SPRINGS,24,MIAMI SPRINGS
MIDWAY FCD,9,MIDWAY FCD
MILTON,36,MILTON
MIRAMAR,35,MIRAMAR
MIRAMAR - MANAGEMENT,9,MIRAMAR - MANAGEMENT
MIRAMAR MGMT,3,MIRAMAR MGMT
MONROE CO VF & EMS,3,MONROE CO VF & EMS
MONROE COUNTY,8,MONROE COUNTY
MONROE COUNTY (CLOSED),1,MONROE COUNTY (CLOSED)
MONROE COUNTY VOL F.F. & EMS,9,MONROE COUNTY VOL F.F. & EMS
MONTICELLO,24,MONTICELLO
MOUNT DORA,35,MOUNT DORA
N BAY FIRE DIST,2,N BAY FIRE DIST
NAPLES,34,NAPLES
NAPLES (REV),2,NAPLES (REV)
NEPTUNE BEACH,12,NEPTUNE BEACH
NEW PORT RICHEY,23,NEW PORT RICHEY
NEW PORT RICHEY RV,1,NEW PORT RICHEY RV
NEW SMYRNA BEACH,21,NEW SMYRNA BEACH
NORTH BAY FCD,9,NORTH BAY FCD
NORTH BREVARD HOSP,3,NORTH BREVARD HOSP
NORTH BREVARD HOSPITAL (Parrish),9,NORTH BREVARD HOSPITAL (Parrish)
NORTH BROWARD HOSPITAL,4,NORTH BROWARD HOSPITAL
NORTH BROWARD HOSPITAL (aka Broward Health),4,NORTH BROWARD HOSPITAL (aka Broward Health)
NORTH COLLIER FCD,1,NORTH COLLIER FCD
NORTH COLLIER FCD (was North Naples),2,NORTH COLLIER FCD (was North Naples)
NORTH MIAMI 691,9,NORTH MIAMI 691
NORTH MIAMI 691 [GPF],25,NORTH MIAMI 691 [GPF]
NORTH MIAMI 691 [GPF] (CLOSED),2,NORTH MIAMI 691 [GPF] (CLOSED)
NORTH MIAMI 748,12,NORTH MIAMI 748
NORTH MIAMI BCH MG,3,NORTH MIAMI BCH MG
NORTH MIAMI BEACH,24,NORTH MIAMI BEACH
NORTH MIAMI BEACH - MANAGEMENT,9,NORTH MIAMI BEACH - MANAGEMENT
NORTH MIAMI BEACH [PF],2,NORTH MIAMI BEACH [PF]
NORTH NAPLES FC&RD,3,NORTH NAPLES FC&RD
NORTH NAPLES FCD,6,NORTH NAPLES FCD
NORTH PALM BEACH,5,NORTH PALM BEACH
NORTH PORT,23,NORTH PORT
NORTH RIVER FCD,9,NORTH RIVER FCD
NORTH RIVER FD,1,NORTH RIVER FD
NORTH RIVER FIRE,2,NORTH RIVER FIRE
OAKLAND PARK,23,OAKLAND PARK
OAKLAND PARK (REV),1,OAKLAND PARK (REV)
OCALA,20,OCALA
OCALA SUPP,16,OCALA SUPP
OCEAN CITY-WRIGHT,1,OCEAN CITY-WRIGHT
OCEAN CITY-WRIGHT FCD,9,OCEAN CITY-WRIGHT FCD
OCEAN CITY-WRT - R,1,OCEAN CITY-WRT - R
OCOEE,23,OCOEE
OCOEE (REV),1,OCOEE (REV)
OKALOOSA ISLAND FC,1,OKALOOSA ISLAND FC
OKALOOSA ISLAND FCD,9,OKALOOSA ISLAND FCD
OKALOOSA ISLFC REV,2,OKALOOSA ISLFC REV
OKEECHOBEE,36,OKEECHOBEE
OKEECHOBEE UTILITY,1,OKEECHOBEE UTILITY
OLDSMAR,10,OLDSMAR
OLDSMAR (REV),2,OLDSMAR (REV)
ORANGE CO LIBRARY,4,ORANGE CO LIBRARY
ORANGE COUNTY LIBRARY,9,ORANGE COUNTY LIBRARY
ORANGE PARK,36,ORANGE PARK
ORLANDO,30,ORLANDO
ORLANDO AVIATION,11,ORLANDO AVIATION
ORLANDO AVIATION-R,1,ORLANDO AVIATION-R
ORLANDO UTILITY,9,ORLANDO UTILITY
ORLANDO UTILITY RV,3,ORLANDO UTILITY RV
ORMOND BEACH,36,ORMOND BEACH
OVIEDO,24,OVIEDO
PALATKA,36,PALATKA
PALM BAY,12,PALM BAY
PALM BAY (CLOSED),3,PALM BAY (CLOSED)
PALM BAY [PF],16,PALM BAY [PF]
PALM BEACH,7,PALM BEACH
PALM BEACH (REV),3,PALM BEACH (REV)
"PALM BEACH [G,LG]",4,"PALM BEACH [G,LG]"
"PALM BEACH [G,P,F,LG]",23,"PALM BEACH [G,P,F,LG]"
PALM BEACH GARDENS,36,PALM BEACH GARDENS
PALM BEACH LG-R,3,PALM BEACH LG-R
PALM BEACH SHORES,4,PALM BEACH SHORES
PALM COAST (VOL),12,PALM COAST (VOL)
PALM HARBOR FCD,10,PALM HARBOR FCD
PALM HARBOR FCD RV,2,PALM HARBOR FCD RV
PALM SPRINGS,6,PALM SPRINGS
"PALM TRAN, INC. (ATU-1577)",9,"PALM TRAN, INC. (ATU-1577)"
"PALM TRAN,INC.-ATU",2,"PALM TRAN,INC.-ATU"
PALMETTO,23,PALMETTO
PALMETTO (REVISED),1,PALMETTO (REVISED)
PANAMA CITY,23,PANAMA CITY
PANAMA CITY (REV),1,PANAMA CITY (REV)
PANAMA CITY (SUPP),12,PANAMA CITY (SUPP)
PANAMA CITY BEACH,36,PANAMA CITY BEACH
PARKLAND,9,PARKLAND
PASCO COUNTY,12,PASCO COUNTY
PEMBROKE PARK COMM SUPP,6,PEMBROKE PARK COMM SUPP
PEMBROKE PINES,24,PEMBROKE PINES
PENSACOLA,35,PENSACOLA
PERRY,20,PERRY
PINELLAS PARK,36,PINELLAS PARK
PLANT CITY,9,PLANT CITY
PLANT CITY SAFETY,3,PLANT CITY SAFETY
PLANTATION,22,PLANTATION
PLANTATION (VOL),9,PLANTATION (VOL)
POMPANO BEACH,15,POMPANO BEACH
POMPANO BEACH [PF],16,POMPANO BEACH [PF]
PONCE INLET,2,PONCE INLET
PONCE INLET (VOL),1,PONCE INLET (VOL)
PORT ORANGE,28,PORT ORANGE
PORT ST. LUCIE,12,PORT ST. LUCIE
PUNTA GORDA,36,PUNTA GORDA
QUINCY,9,QUINCY
QUINCY SUPP,2,QUINCY SUPP
RIVIERA BEACH,29,RIVIERA BEACH
ROCKLEDGE,29,ROCKLEDGE
ROYAL PALM BCH RV,2,ROYAL PALM BCH RV
ROYAL PALM BEACH,5,ROYAL PALM BEACH
S. MANATEE F& RD,4,S. MANATEE F& RD
S. MANATEE F&RD,2,S. MANATEE F&RD
SAFETY HARBOR,12,SAFETY HARBOR
SAINT AUGUSTINE,27,SAINT AUGUSTINE
SAINT CLOUD,18,SAINT CLOUD
SAINT JOHNS RIVER PW PK,9,SAINT JOHNS RIVER PW PK
SAINT LUCIE COUNTY FCD,18,SAINT LUCIE COUNTY FCD
SAINT PETE BEACH,27,SAINT PETE BEACH
SAINT PETERSBURG,27,SAINT PETERSBURG
SAN CARLOS PARK FCD,9,SAN CARLOS PARK FCD
SAN CARLOS PARKFRD,3,SAN CARLOS PARKFRD
SANFORD,24,SANFORD
SANIBEL,23,SANIBEL
SANIBEL (REV),1,SANIBEL (REV)
SARASOTA,35,SARASOTA
SARASOTA-MANATEE A,12,SARASOTA-MANATEE A
SARASOTA MEMORIAL HEALTH CARE,6,SARASOTA MEMORIAL HEALTH CARE
SARASOTA MEMORIAL HHC,3,SARASOTA MEMORIAL HHC
SATELLITE BEACH,20,SATELLITE BEACH
SEBASTIAN,9,SEBASTIAN
SEBRING,24,SEBRING
SEMINOLE,11,SEMINOLE
SHALIMAR,6,SHALIMAR
SOUTH BROWARD HOSP,3,SOUTH BROWARD HOSP
SOUTH BROWARD HOSPITAL,3,SOUTH BROWARD HOSPITAL
SOUTH BROWARD HOSPITAL (aka Memorial Healthcare),6,SOUTH BROWARD HOSPITAL (aka Memorial Healthcare)
SOUTH MIAMI (REV),6,SOUTH MIAMI (REV)
SOUTH MIAMI [GP],18,SOUTH MIAMI [GP]
SOUTH PASADENA,12,SOUTH PASADENA
SOUTH WALTON FCD,9,SOUTH WALTON FCD
SOUTH WALTON FD,3,SOUTH WALTON FD
SOUTHERN MANATEE FCD,18,SOUTHERN MANATEE FCD
ST. AUGUSTINE,8,ST. AUGUSTINE
ST. CLOUD,6,ST. CLOUD
ST. PETE BEACH,8,ST. PETE BEACH
ST. PETE BEACH REV,1,ST. PETE BEACH REV
ST. PETERSBURG,9,ST. PETERSBURG
ST.LUCIE CTY. FIRE,4,ST.LUCIE CTY. FIRE
STARKE,27,STARKE
STUART,12,STUART
SUNRISE,32,SUNRISE
SUNRISE (REVISED),3,SUNRISE (REVISED)
SURFSIDE,6,SURFSIDE
SURFSIDE [GP],18,SURFSIDE [GP]
SWEETWATER,10,SWEETWATER
TALLAHASSEE,9,TALLAHASSEE
TALLAHASSEE [GPF],27,TALLAHASSEE [GPF]
TAMARAC,34,TAMARAC
TAMARAC - ELECTED,2,TAMARAC - ELECTED
TAMARAC - EXECUTIVE,6,TAMARAC - EXECUTIVE
TAMARAC (CLOSED),1,TAMARAC (CLOSED)
TAMPA,23,TAMPA
TARPON SPRINGS,24,TARPON SPRINGS
TAVARES,23,TAVARES
TEMPLE TERRACE,22,TEMPLE TERRACE
TEMPLE TERRACE REV,2,TEMPLE TERRACE REV
TEQUESTA,12,TEQUESTA
TEQUESTA [PF],18,TEQUESTA [PF]
TITUSVILLE,24,TITUSVILLE
TRI-COUNTY TRANSIT,2,TRI-COUNTY TRANSIT
TRI-COUNTY TRANSIT (ATU-1596),9,TRI-COUNTY TRANSIT (ATU-1596)
UMATILLA,9,UMATILLA
VALPARAISO,12,VALPARAISO
VENICE,28,VENICE
VERO BEACH,34,VERO BEACH
VERO BEACH (CLOSED),1,VERO BEACH (CLOSED)
VILLAGE OF NORTH PALM BEACH,18,VILLAGE OF NORTH PALM BEACH
VILLAGE OF PALM SPRINGS,18,VILLAGE OF PALM SPRINGS
VOLUSIA COUNTY (VOL),9,VOLUSIA COUNTY (VOL)
VOLUSIA CTY VOLUNT,3,VOLUSIA CTY VOLUNT
WAUCHULA,11,WAUCHULA
WEST MANATEE FCD,9,WEST MANATEE FCD
WEST MANATEE FRD,3,WEST MANATEE FRD
WEST MELBOURNE,12,WEST MELBOURNE
WEST PALM BEACH,36,WEST PALM BEACH
WILLISTON,24,WILLISTON
WILTON MANORS,6,WILTON MANORS
WILTON MANORS (VOL),9,WILTON MANORS (VOL)
WILTON MANORS [GP],18,WILTON MANORS [GP]
WILTON MANORS(VOL),3,WILTON MANORS(VOL)
WINTER GARDEN,25,WINTER GARDEN
WINTER HAVEN,36,WINTER HAVEN
WINTER PARK,22,WINTER PARK
WINTER SPRINGS,11,WINTER SPRINGS
