plan_sponsor,Freq,plan_sponsor_clean
KEY WEST HOUSING,52,KEY WEST HOUSING
KEY WEST UTILITY,48,KEY WEST UTILITY
KISSIMMEE,123,KISSIMMEE
KISSIMMEE UTIL AUT,6,KISSIMMEE UTIL AUT
KISSIMMEE UTILITY AUTHORITY,43,KISSIMMEE UTILITY AUTHORITY
L'DALE-BY-THE-SEA,5,L'DALE-BY-THE-SEA
LADY LAKE,50,LADY LAKE
LAKE ALFRED,86,LAKE ALFRED
LAKE ALFRED (REV),4,LAKE ALFRED (REV)
LAKE CITY,123,LAKE CITY
LAKE MARY,106,LAKE MARY
LAKE MARY (REV),1,LAKE MARY (REV)
LAKE PARK (RETIRED),36,LAKE PARK (RETIRED)
LAKE PARK RETIRED,5,LAKE PARK RETIRED
LAKE WALES,117,LAKE WALES
LAKE WORTH,142,LAKE WORTH
LAKELAND,54,LAKELAND
LAKELAND SUPP,4,LAKELAND SUPP
LAKELAND SUPP-R,2,LAKELAND SUPP-R
LANTANA,65,LANTANA
LARGO,51,LARGO
LAUDERHILL,134,LAUDERHILL
LAUDERHILL (C&M),40,LAUDERHILL (C&M)
LEESBURG,65,LEESBURG
LIGHTHOUSE POINT,1,LIGHTHOUSE POINT
LIGHTHOUSE POINT R,2,LIGHTHOUSE POINT R
LIVE OAK,9,LIVE OAK
LONGBOAT KEY,147,LONGBOAT KEY
LONGBOAT KEY (REV),3,LONGBOAT KEY (REV)
LONGWOOD,2,LONGWOOD
LYNN HAVEN,65,LYNN HAVEN
MADISON,52,MADISON
MAITLAND,30,MAITLAND
MARCO ISLAND,85,MARCO ISLAND
MARCO ISLAND FCD,2,MARCO ISLAND FCD
MARION COUNTY,1,MARION COUNTY
MARTIN COUNTY,11,MARTIN COUNTY
MEDLEY (REV),1,MEDLEY (REV)
MELBOURNE,135,MELBOURNE
MELBOURNE - SPECIAL RISK,38,MELBOURNE - SPECIAL RISK
MELBOURNE (REV),2,MELBOURNE (REV)
MELBOURNE (RV)SRSK,2,MELBOURNE (RV)SRSK
MELBOURNE BEACH,38,MELBOURNE BEACH
MELBOURNE SPECIAL RISK,2,MELBOURNE SPECIAL RISK
MELBOURNE SPECRSK,6,MELBOURNE SPECRSK
MIAMI,31,MIAMI
MIAMI-DADE COUNTY,14,MIAMI-DADE COUNTY
MIAMI-DADE COUNTY (CLOSED),2,MIAMI-DADE COUNTY (CLOSED)
MIAMI - ELECTED,17,MIAMI - ELECTED
MIAMI - EXCESS,23,MIAMI - EXCESS
MIAMI - GESE,14,MIAMI - GESE
MIAMI - GESE (EXCESS),6,MIAMI - GESE (EXCESS)
MIAMI - GESE (STAFF),15,MIAMI - GESE (STAFF)
MIAMI - STAFF,28,MIAMI - STAFF
MIAMI BEACH,105,MIAMI BEACH
MIAMI BEACH UNC&EL,6,MIAMI BEACH UNC&EL
MIAMI OFF-ST PKING,5,MIAMI OFF-ST PKING
MIAMI SHORES VILLAGE,17,MIAMI SHORES VILLAGE
MIAMI SPRINGS,76,MIAMI SPRINGS
MILTON,156,MILTON
MIRAMAR,124,MIRAMAR
MIRAMAR - MANAGEMENT,45,MIRAMAR - MANAGEMENT
MIRAMAR MGMT,3,MIRAMAR MGMT
MONROE COUNTY,1,MONROE COUNTY
MONTICELLO,3,MONTICELLO
MOUNT DORA,12,MOUNT DORA
N BAY FIRE DIST,3,N BAY FIRE DIST
NAPLES,160,NAPLES
NAPLES (REV),6,NAPLES (REV)
NEPTUNE BEACH,46,NEPTUNE BEACH
NEW PORT RICHEY,75,NEW PORT RICHEY
NEW PORT RICHEY RV,2,NEW PORT RICHEY RV
NEW SMYRNA BEACH,56,NEW SMYRNA BEACH
NORTH BREVARD HOSP,6,NORTH BREVARD HOSP
NORTH MIAMI 691,3,NORTH MIAMI 691
NORTH MIAMI 691 [GPF],117,NORTH MIAMI 691 [GPF]
NORTH MIAMI 691 [GPF] (CLOSED),12,NORTH MIAMI 691 [GPF] (CLOSED)
NORTH MIAMI 748,44,NORTH MIAMI 748
NORTH MIAMI BCH MG,4,NORTH MIAMI BCH MG
NORTH MIAMI BEACH,95,NORTH MIAMI BEACH
NORTH MIAMI BEACH [PF],2,NORTH MIAMI BEACH [PF]
NORTH NAPLES FC&RD,5,NORTH NAPLES FC&RD
NORTH PALM BEACH,6,NORTH PALM BEACH
NORTH PALM BEACH R,3,NORTH PALM BEACH R
NORTH PORT,110,NORTH PORT
NORTH RIVER FCD,49,NORTH RIVER FCD
NORTH RIVER FD,3,NORTH RIVER FD
NORTH RIVER FIRE,3,NORTH RIVER FIRE
OAKLAND PARK,90,OAKLAND PARK
OAKLAND PARK (REV),1,OAKLAND PARK (REV)
OCALA,89,OCALA
OCALA SUPP,65,OCALA SUPP
OCEAN CITY-WRIGHT,3,OCEAN CITY-WRIGHT
OCEAN CITY-WRIGHT FCD,55,OCEAN CITY-WRIGHT FCD
OCEAN CITY-WRT - R,4,OCEAN CITY-WRT - R
OCOEE,94,OCOEE
OCOEE (REV),3,OCOEE (REV)
OKALOOSA ISLAND FC,3,OKALOOSA ISLAND FC
OKALOOSA ISLAND FCD,42,OKALOOSA ISLAND FCD
OKALOOSA ISLFCD RV,2,OKALOOSA ISLFCD RV
OKEECHOBEE,9,OKEECHOBEE
OLDSMAR,4,OLDSMAR
OLDSMAR (REV),5,OLDSMAR (REV)
ORANGE COUNTY LIBRARY,8,ORANGE COUNTY LIBRARY
ORANGE PARK,145,ORANGE PARK
ORLANDO,98,ORLANDO
ORLANDO AVIATION,7,ORLANDO AVIATION
ORLANDO AVIATION-R,3,ORLANDO AVIATION-R
ORLANDO UTILITY,8,ORLANDO UTILITY
ORLANDO UTILITY RV,3,ORLANDO UTILITY RV
ORMOND BEACH,162,ORMOND BEACH
OVIEDO,57,OVIEDO
PALATKA,120,PALATKA
PALM BAY,13,PALM BAY
PALM BAY [PF],86,PALM BAY [PF]
PALM BEACH,24,PALM BEACH
"PALM BEACH [G,LG]",10,"PALM BEACH [G,LG]"
"PALM BEACH [G,P,F,LG]",100,"PALM BEACH [G,P,F,LG]"
PALM BEACH G&LG,3,PALM BEACH G&LG
PALM BEACH G&LG-R,3,PALM BEACH G&LG-R
PALM BEACH GARDENS,106,PALM BEACH GARDENS
PALM COAST (VOL),40,PALM COAST (VOL)
PALM HARBOR FCD,53,PALM HARBOR FCD
PALM HARBOR FCD RV,3,PALM HARBOR FCD RV
PALM SPRINGS,11,PALM SPRINGS
"PALM TRAN, INC. (ATU-1577)",37,"PALM TRAN, INC. (ATU-1577)"
"PALM TRAN,INC.-ATU",2,"PALM TRAN,INC.-ATU"
PALMETTO,111,PALMETTO
PALMETTO (REVISED),3,PALMETTO (REVISED)
PANAMA CITY,100,PANAMA CITY
PANAMA CITY (REV),2,PANAMA CITY (REV)
PANAMA CITY (SUPP),6,PANAMA CITY (SUPP)
PANAMA CITY BEACH,15,PANAMA CITY BEACH
PARKLAND,41,PARKLAND
PASCO COUNTY,25,PASCO COUNTY
PEMBROKE PINES,48,PEMBROKE PINES
PENSACOLA,89,PENSACOLA
PERRY,77,PERRY
PINELLAS PARK,152,PINELLAS PARK
PLANT CITY,50,PLANT CITY
PLANT CITY SAFETY,6,PLANT CITY SAFETY
PLANTATION,98,PLANTATION
POMPANO BEACH,58,POMPANO BEACH
POMPANO BEACH [PF],102,POMPANO BEACH [PF]
PONCE INLET,4,PONCE INLET
PONCE INLET (VOL),4,PONCE INLET (VOL)
PORT ORANGE,102,PORT ORANGE
PORT ST. LUCIE,54,PORT ST. LUCIE
PUNTA GORDA,106,PUNTA GORDA
QUINCY,10,QUINCY
QUINCY SUPP,2,QUINCY SUPP
RIVIERA BEACH,118,RIVIERA BEACH
ROCKLEDGE,129,ROCKLEDGE
ROYAL PALM BCH RV,2,ROYAL PALM BCH RV
S. MANATEE F& RD,8,S. MANATEE F& RD
S. MANATEE F&RD,2,S. MANATEE F&RD
SAFETY HARBOR,4,SAFETY HARBOR
SAINT AUGUSTINE,92,SAINT AUGUSTINE
SAINT CLOUD,96,SAINT CLOUD
SAINT JOHNS RIVER PW PK,37,SAINT JOHNS RIVER PW PK
SAINT LUCIE COUNTY FCD,78,SAINT LUCIE COUNTY FCD
SAINT PETE BEACH,135,SAINT PETE BEACH
SAINT PETERSBURG,119,SAINT PETERSBURG
SAN CARLOS PARKFRD,6,SAN CARLOS PARKFRD
SANFORD,96,SANFORD
SANIBEL,102,SANIBEL
SANIBEL (REV),3,SANIBEL (REV)
SARASOTA,139,SARASOTA
SARASOTA-MANATEE A,3,SARASOTA-MANATEE A
SARASOTA MEMORIAL HEALTH CARE,28,SARASOTA MEMORIAL HEALTH CARE
SARASOTA MEMORIAL HHC,10,SARASOTA MEMORIAL HHC
SATELLITE BEACH,89,SATELLITE BEACH
SATELLITE BEACH®,3,SATELLITE BEACH®
SEBASTIAN,3,SEBASTIAN
SEBRING,12,SEBRING
SEMINOLE,22,SEMINOLE
SOUTH BROWARD HOSPITAL,10,SOUTH BROWARD HOSPITAL
SOUTH BROWARD HOSPITAL (aka Memorial Healthcare),26,SOUTH BROWARD HOSPITAL (aka Memorial Healthcare)
SOUTH MIAMI (REV),6,SOUTH MIAMI (REV)
SOUTH MIAMI [GP],100,SOUTH MIAMI [GP]
SOUTH PASADENA,53,SOUTH PASADENA
SOUTH WALTON FCD,39,SOUTH WALTON FCD
SOUTH WALTON FD,6,SOUTH WALTON FD
ST. AUGUSTINE,9,ST. AUGUSTINE
ST. CLOUD,12,ST. CLOUD
ST. PETE BEACH,15,ST. PETE BEACH
ST. PETE BEACH REV,3,ST. PETE BEACH REV
ST. PETERSBURG,15,ST. PETERSBURG
ST.LUCIE CTY. FIRE,4,ST.LUCIE CTY. FIRE
STARKE,116,STARKE
STUART,11,STUART
SUNRISE,116,SUNRISE
SUNRISE (REVISED),3,SUNRISE (REVISED)
SURFSIDE,5,SURFSIDE
SURFSIDE [GP],90,SURFSIDE [GP]
SWEETWATER,1,SWEETWATER
TALLAHASSEE,9,TALLAHASSEE
TALLAHASSEE [GPF],72,TALLAHASSEE [GPF]
TAMARAC,121,TAMARAC
TAMARAC - ELECTED,12,TAMARAC - ELECTED
TAMARAC - EXECUTIVE,30,TAMARAC - EXECUTIVE
TAMARAC (CLOSED),5,TAMARAC (CLOSED)
TAMPA,58,TAMPA
TARPON SPRINGS,105,TARPON SPRINGS
TAVARES,86,TAVARES
TEMPLE TERRACE,105,TEMPLE TERRACE
TEMPLE TERRACE REV,2,TEMPLE TERRACE REV
TEQUESTA,3,TEQUESTA
TEQUESTA [PF],50,TEQUESTA [PF]
TITUSVILLE,117,TITUSVILLE
TRI-COUNTY TRANSIT,3,TRI-COUNTY TRANSIT
TRI-COUNTY TRANSIT (ATU-1596),37,TRI-COUNTY TRANSIT (ATU-1596)
VALPARAISO,4,VALPARAISO
VENICE,119,VENICE
VERO BEACH,137,VERO BEACH
VERO BEACH (CLOSED),5,VERO BEACH (CLOSED)
VILLAGE OF NORTH PALM BEACH,1,VILLAGE OF NORTH PALM BEACH
VILLAGE OF PALM SPRINGS,81,VILLAGE OF PALM SPRINGS
VOLUSIA CTY VOLUNT,4,VOLUSIA CTY VOLUNT
WAUCHULA,2,WAUCHULA
WEST MANATEE FCD,5,WEST MANATEE FCD
WEST MANATEE FRD,6,WEST MANATEE FRD
WEST MELBOURNE,5,WEST MELBOURNE
WEST PALM BEACH,85,WEST PALM BEACH
WILLISTON,16,WILLISTON
WILTON MANORS,5,WILTON MANORS
WILTON MANORS (VOL),42,WILTON MANORS (VOL)
WILTON MANORS [GP],102,WILTON MANORS [GP]
WILTON MANORS(VOL),5,WILTON MANORS(VOL)
WINTER GARDEN,62,WINTER GARDEN
WINTER HAVEN,155,WINTER HAVEN
WINTER PARK,94,WINTER PARK
WINTER SPRINGS,26,WINTER SPRINGS
